code,description
412,Old myocardial infarction
0939,"Cardiovascular syphilis, unspecified"
1303,Myocarditis due to toxoplasmosis
03282,Diphtheritic myocarditis
03640,"Meningococcal carditis, unspecified"
03641,Meningococcal pericarditis
03642,Meningococcal endocarditis
03643,Meningococcal myocarditis
4110,Postmyocardial infarction syndrome
4111,Intermediate coronary syndrome
4130,Angina decubitus
4131,Prinzmetal angina
4139,Other and unspecified angina pectoris
4142,Chronic total occlusion of coronary artery
4143,Coronary atherosclerosis due to lipid rich plaque
4144,Coronary atherosclerosis due to calcified coronary lesion
4148,Other specified forms of chronic ischemic heart disease
4149,"Chronic ischemic heart disease, unspecified"
4150,Acute cor pulmonale
4200,Acute pericarditis in diseases classified elsewhere
4210,Acute and subacute bacterial endocarditis
4211,Acute and subacute infective endocarditis in diseases classified elsewhere
4219,"Acute endocarditis, unspecified"
4220,Acute myocarditis in diseases classified elsewhere
4230,Hemopericardium
4231,Adhesive pericarditis
4232,Constrictive pericarditis
4233,Cardiac tamponade
4238,Other specified diseases of pericardium
4239,Unspecified disease of pericardium
4240,Mitral valve disorders
4241,Aortic valve disorders
4242,"Tricuspid valve disorders, specified as nonrheumatic"
4243,Pulmonary valve disorders
4250,Endomyocardial fibrosis
4252,Obscure cardiomyopathy of Africa
4253,Endocardial fibroelastosis
4254,Other primary cardiomyopathies
4255,Alcoholic cardiomyopathy
4257,Nutritional and metabolic cardiomyopathy
4258,Cardiomyopathy in other diseases classified elsewhere
4259,"Secondary cardiomyopathy, unspecified"
4260,"Atrioventricular block, complete"
4262,Left bundle branch hemiblock
4263,Other left bundle branch block
4264,Right bundle branch block
4266,Other heart block
4267,Anomalous atrioventricular excitation
4269,"Conduction disorder, unspecified"
4270,Paroxysmal supraventricular tachycardia
4271,Paroxysmal ventricular tachycardia
4272,"Paroxysmal tachycardia, unspecified"
4275,Cardiac arrest
4279,"Cardiac dysrhythmia, unspecified"
4280,"Congestive heart failure, unspecified"
4281,Left heart failure
4289,"Heart failure, unspecified"
4290,"Myocarditis, unspecified"
4291,Myocardial degeneration
4292,"Cardiovascular disease, unspecified"
4293,Cardiomegaly
4294,Functional disturbances following cardiac surgery
4295,Rupture of chordae tendineae
4296,Rupture of papillary muscle
4299,"Heart disease, unspecified"
07420,"Coxsackie carditis, unspecified"
07421,Coxsackie pericarditis
07422,Coxsackie endocarditis
07423,Coxsackie myocarditis
7457,Cor biloculare
7458,Other bulbus cordis anomalies and anomalies of cardiac septal closure
7459,Unspecified defect of septal closure
7461,"Tricuspid atresia and stenosis, congenital"
7462,Ebstein's anomaly
7463,Congenital stenosis of aortic valve
7464,Congenital insufficiency of aortic valve
7465,Congenital mitral stenosis
7466,Congenital mitral insufficiency
7467,Hypoplastic left heart syndrome
7469,Unspecified congenital anomaly of heart
7470,Patent ductus arteriosus
7850,"Tachycardia, unspecified"
7851,Palpitations
7852,Undiagnosed cardiac murmurs
7853,Other abnormal heart sounds
7859,Other symptoms involving cardiovascular system
09320,"Syphilitic endocarditis of valve, unspecified"
09321,Syphilitic endocarditis of mitral valve
09322,Syphilitic endocarditis of aortic valve
09323,Syphilitic endocarditis of tricuspid valve
09324,Syphilitic endocarditis of pulmonary valve
09381,Syphilitic pericarditis
09382,Syphilitic myocarditis
09389,Other specified cardiovascular syphilis
09883,Gonococcal pericarditis
09884,Gonococcal endocarditis
09885,Other gonococcal heart disease
11503,"Infection by Histoplasma capsulatum, pericarditis"
11504,"Infection by Histoplasma capsulatum, endocarditis"
11513,"Infection by Histoplasma duboisii, pericarditis"
11514,"Infection by Histoplasma duboisii, endocarditis"
11593,"Histoplasmosis, unspecified, pericarditis"
11594,"Histoplasmosis, unspecified, endocarditis"
41000,"Acute myocardial infarction of anterolateral wall, episode of care unspecified"
41001,"Acute myocardial infarction of anterolateral wall, initial episode of care"
41002,"Acute myocardial infarction of anterolateral wall, subsequent episode of care"
41010,"Acute myocardial infarction of other anterior wall, episode of care unspecified"
41011,"Acute myocardial infarction of other anterior wall, initial episode of care"
41012,"Acute myocardial infarction of other anterior wall, subsequent episode of care"
41020,"Acute myocardial infarction of inferolateral wall, episode of care unspecified"
41021,"Acute myocardial infarction of inferolateral wall, initial episode of care"
41022,"Acute myocardial infarction of inferolateral wall, subsequent episode of care"
41030,"Acute myocardial infarction of inferoposterior wall, episode of care unspecified"
41031,"Acute myocardial infarction of inferoposterior wall, initial episode of care"
41032,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care"
41040,"Acute myocardial infarction of other inferior wall, episode of care unspecified"
41041,"Acute myocardial infarction of other inferior wall, initial episode of care"
41042,"Acute myocardial infarction of other inferior wall, subsequent episode of care"
41050,"Acute myocardial infarction of other lateral wall, episode of care unspecified"
41051,"Acute myocardial infarction of other lateral wall, initial episode of care"
41052,"Acute myocardial infarction of other lateral wall, subsequent episode of care"
41060,"True posterior wall infarction, episode of care unspecified"
41061,"True posterior wall infarction, initial episode of care"
41062,"True posterior wall infarction, subsequent episode of care"
41070,"Subendocardial infarction, episode of care unspecified"
41071,"Subendocardial infarction, initial episode of care"
41072,"Subendocardial infarction, subsequent episode of care"
41080,"Acute myocardial infarction of other specified sites, episode of care unspecified"
41081,"Acute myocardial infarction of other specified sites, initial episode of care"
41082,"Acute myocardial infarction of other specified sites, subsequent episode of care"
41090,"Acute myocardial infarction of unspecified site, episode of care unspecified"
41091,"Acute myocardial infarction of unspecified site, initial episode of care"
41092,"Acute myocardial infarction of unspecified site, subsequent episode of care"
41181,Acute coronary occlusion without myocardial infarction
41189,"Other acute and subacute forms of ischemic heart disease, other"
41400,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
41401,Coronary atherosclerosis of native coronary artery
41402,Coronary atherosclerosis of autologous vein bypass graft
41403,Coronary atherosclerosis of nonautologous biological bypass graft
41404,Coronary atherosclerosis of artery bypass graft
41405,Coronary atherosclerosis of unspecified bypass graft
41406,Coronary atherosclerosis of native coronary artery of transplanted heart
41407,Coronary atherosclerosis of bypass graft (artery) (vein) of transplanted heart
41410,Aneurysm of heart (wall)
41411,Aneurysm of coronary vessels
41412,Dissection of coronary artery
