code,description
0064,Amebic lung abscess
0212,Pulmonary tularemia
0221,Pulmonary anthrax
0310,Pulmonary diseases due to other mycobacteria
0391,Pulmonary actinomycotic infection
481,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]
485,"Bronchopneumonia, organism unspecified"
486,"Pneumonia, organism unspecified"
490,"Bronchitis, not specified as acute or chronic"
496,"Chronic airway obstruction, not elsewhere classified"
500,Coal workers' pneumoconiosis
501,Asbestosis
502,Pneumoconiosis due to other silica or silicates
503,Pneumoconiosis due to other inorganic dust
504,Pneumonopathy due to inhalation of other dust
505,"Pneumoconiosis, unspecified"
514,Pulmonary congestion and hypostasis
515,Postinflammatory pulmonary fibrosis
0951,Syphilis of lung
01000,"Primary tuberculous infection, unspecified"
01001,"Primary tuberculous infection, bacteriological or histological examination not done"
01002,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
01003,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
01004,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01005,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01006,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01010,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
01011,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
01012,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01013,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01014,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01015,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01016,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01080,"Other primary progressive tuberculosis, unspecified"
01081,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
01082,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01083,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01084,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01085,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01086,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01090,"Primary tuberculous infection, unspecified, unspecified"
01091,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
01092,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
01093,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
01094,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01095,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01096,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01100,"Tuberculosis of lung, infiltrative, unspecified"
01101,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
01102,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
01103,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
01104,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01105,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01106,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01110,"Tuberculosis of lung, nodular, unspecified"
01111,"Tuberculosis of lung, nodular, bacteriological or histological examination not done"
01112,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
01113,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
01114,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01115,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01116,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01120,"Tuberculosis of lung with cavitation, unspecified"
01121,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
01122,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
01123,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
01124,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1124,Candidiasis of lung
01125,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01126,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01130,"Tuberculosis of bronchus, unspecified"
01131,"Tuberculosis of bronchus, bacteriological or histological examination not done"
01132,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
01133,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
01134,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
01135,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01136,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01140,"Tuberculous fibrosis of lung, unspecified"
1140,Primary coccidioidomycosis (pulmonary)
01141,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
01142,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
01143,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
01144,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1144,Chronic pulmonary coccidioidomycosis
01145,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1145,"Pulmonary coccidioidomycosis, unspecified"
01146,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01150,"Tuberculous bronchiectasis, unspecified"
01151,"Tuberculous bronchiectasis, bacteriological or histological examination not done"
01152,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
01153,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
01154,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01155,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01156,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01160,"Tuberculous pneumonia [any form], unspecified"
01161,"Tuberculous pneumonia [any form], bacteriological or histological examination not done"
01162,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
01163,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
01164,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01165,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01166,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01170,"Tuberculous pneumothorax, unspecified"
01171,"Tuberculous pneumothorax, bacteriological or histological examination not done"
01172,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
01173,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
01174,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01175,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01176,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01180,"Other specified pulmonary tuberculosis, unspecified"
01181,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
01182,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
01183,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01184,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01185,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01186,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01190,"Pulmonary tuberculosis, unspecified, unspecified"
01191,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
01192,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
01193,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
