code,condition
179,"Malignant neoplasm of uterus, part unspecified"
181,Malignant neoplasm of placenta
185,Malignant neoplasm of prostate
193,Malignant neoplasm of thyroid gland
1400,"Malignant neoplasm of upper lip, vermilion border"
1401,"Malignant neoplasm of lower lip, vermilion border"
1403,"Malignant neoplasm of upper lip, inner aspect"
1404,"Malignant neoplasm of lower lip, inner aspect"
1405,"Malignant neoplasm of lip, unspecified, inner aspect"
1406,Malignant neoplasm of commissure of lip
1408,Malignant neoplasm of other sites of lip
1409,"Malignant neoplasm of lip, unspecified, vermilion border"
1410,Malignant neoplasm of base of tongue
1411,Malignant neoplasm of dorsal surface of tongue
1412,Malignant neoplasm of tip and lateral border of tongue
1413,Malignant neoplasm of ventral surface of tongue
1414,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
1415,Malignant neoplasm of junctional zone of tongue
1416,Malignant neoplasm of lingual tonsil
1418,Malignant neoplasm of other sites of tongue
1419,"Malignant neoplasm of tongue, unspecified"
1420,Malignant neoplasm of parotid gland
1421,Malignant neoplasm of submandibular gland
1422,Malignant neoplasm of sublingual gland
1428,Malignant neoplasm of other major salivary glands
1429,"Malignant neoplasm of salivary gland, unspecified"
1430,Malignant neoplasm of upper gum
1431,Malignant neoplasm of lower gum
1438,Malignant neoplasm of other sites of gum
1439,"Malignant neoplasm of gum, unspecified"
1440,Malignant neoplasm of anterior portion of floor of mouth
1441,Malignant neoplasm of lateral portion of floor of mouth
1448,Malignant neoplasm of other sites of floor of mouth
1449,"Malignant neoplasm of floor of mouth, part unspecified"
1450,Malignant neoplasm of cheek mucosa
1451,Malignant neoplasm of vestibule of mouth
1452,Malignant neoplasm of hard palate
1453,Malignant neoplasm of soft palate
1454,Malignant neoplasm of uvula
1455,"Malignant neoplasm of palate, unspecified"
1456,Malignant neoplasm of retromolar area
1458,Malignant neoplasm of other specified parts of mouth
1459,"Malignant neoplasm of mouth, unspecified"
1460,Malignant neoplasm of tonsil
1461,Malignant neoplasm of tonsillar fossa
1462,Malignant neoplasm of tonsillar pillars (anterior) (posterior)
1463,Malignant neoplasm of vallecula epiglottica
1464,Malignant neoplasm of anterior aspect of epiglottis
1465,Malignant neoplasm of junctional region of oropharynx
1466,Malignant neoplasm of lateral wall of oropharynx
1467,Malignant neoplasm of posterior wall of oropharynx
1468,Malignant neoplasm of other specified sites of oropharynx
1469,"Malignant neoplasm of oropharynx, unspecified site"
1470,Malignant neoplasm of superior wall of nasopharynx
1471,Malignant neoplasm of posterior wall of nasopharynx
1472,Malignant neoplasm of lateral wall of nasopharynx
1473,Malignant neoplasm of anterior wall of nasopharynx
1478,Malignant neoplasm of other specified sites of nasopharynx
1479,"Malignant neoplasm of nasopharynx, unspecified site"
1480,Malignant neoplasm of postcricoid region of hypopharynx
1481,Malignant neoplasm of pyriform sinus
1482,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect"
1483,Malignant neoplasm of posterior hypopharyngeal wall
1488,Malignant neoplasm of other specified sites of hypopharynx
1489,"Malignant neoplasm of hypopharynx, unspecified site"
1490,"Malignant neoplasm of pharynx, unspecified"
1491,Malignant neoplasm of waldeyer's ring
1498,Malignant neoplasm of other sites within the lip and oral cavity
1499,Malignant neoplasm of ill-defined sites within the lip and oral cavity
1500,Malignant neoplasm of cervical esophagus
1501,Malignant neoplasm of thoracic esophagus
1502,Malignant neoplasm of abdominal esophagus
1503,Malignant neoplasm of upper third of esophagus
1504,Malignant neoplasm of middle third of esophagus
1505,Malignant neoplasm of lower third of esophagus
1508,Malignant neoplasm of other specified part of esophagus
1509,"Malignant neoplasm of esophagus, unspecified site"
1510,Malignant neoplasm of cardia
1511,Malignant neoplasm of pylorus
1512,Malignant neoplasm of pyloric antrum
1513,Malignant neoplasm of fundus of stomach
1514,Malignant neoplasm of body of stomach
1515,"Malignant neoplasm of lesser curvature of stomach, unspecified"
1516,"Malignant neoplasm of greater curvature of stomach, unspecified"
1518,Malignant neoplasm of other specified sites of stomach
1519,"Malignant neoplasm of stomach, unspecified site"
1520,Malignant neoplasm of duodenum
1521,Malignant neoplasm of jejunum
1522,Malignant neoplasm of ileum
1523,Malignant neoplasm of Meckel's diverticulum
1528,Malignant neoplasm of other specified sites of small intestine
1529,"Malignant neoplasm of small intestine, unspecified site"
1530,Malignant neoplasm of hepatic flexure
1531,Malignant neoplasm of transverse colon
1532,Malignant neoplasm of descending colon
1533,Malignant neoplasm of sigmoid colon
1534,Malignant neoplasm of cecum
1535,Malignant neoplasm of appendix vermiformis
1536,Malignant neoplasm of ascending colon
1537,Malignant neoplasm of splenic flexure
1538,Malignant neoplasm of other specified sites of large intestine
1539,"Malignant neoplasm of colon, unspecified site"
1540,Malignant neoplasm of rectosigmoid junction
1541,Malignant neoplasm of rectum
1542,Malignant neoplasm of anal canal
1543,"Malignant neoplasm of anus, unspecified site"
1548,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus"
1550,"Malignant neoplasm of liver, primary"
1551,Malignant neoplasm of intrahepatic bile ducts
1552,"Malignant neoplasm of liver, not specified as primary or secondary"
1560,Malignant neoplasm of gallbladder
1561,Malignant neoplasm of extrahepatic bile ducts
1562,Malignant neoplasm of ampulla of vater
1568,Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts
1569,"Malignant neoplasm of biliary tract, part unspecified site"
1570,Malignant neoplasm of head of pancreas
1571,Malignant neoplasm of body of pancreas
1572,Malignant neoplasm of tail of pancreas
1573,Malignant neoplasm of pancreatic duct
1574,Malignant neoplasm of islets of langerhans
1578,Malignant neoplasm of other specified sites of pancreas
1579,"Malignant neoplasm of pancreas, part unspecified"
1580,Malignant neoplasm of retroperitoneum
1588,Malignant neoplasm of specified parts of peritoneum
1589,"Malignant neoplasm of peritoneum, unspecified"
1590,"Malignant neoplasm of intestinal tract, part unspecified"
1591,"Malignant neoplasm of spleen, not elsewhere classified"
1598,Malignant neoplasm of other sites of digestive system and intra-abdominal organs
1599,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum
1600,Malignant neoplasm of nasal cavities
1601,"Malignant neoplasm of auditory tube, middle ear, and mastoid air cells"
1602,Malignant neoplasm of maxillary sinus
1603,Malignant neoplasm of ethmoidal sinus
1604,Malignant neoplasm of frontal sinus
1605,Malignant neoplasm of sphenoidal sinus
1608,Malignant neoplasm of other accessory sinuses
1609,"Malignant neoplasm of accessory sinus, unspecified"
1610,Malignant neoplasm of glottis
1611,Malignant neoplasm of supraglottis
1612,Malignant neoplasm of subglottis
1613,Malignant neoplasm of laryngeal cartilages
1618,Malignant neoplasm of other specified sites of larynx
1619,"Malignant neoplasm of larynx, unspecified"
1620,Malignant neoplasm of trachea
1622,Malignant neoplasm of main bronchus
1623,"Malignant neoplasm of upper lobe, bronchus or lung"
1624,"Malignant neoplasm of middle lobe, bronchus or lung"
1625,"Malignant neoplasm of lower lobe, bronchus or lung"
1628,Malignant neoplasm of other parts of bronchus or lung
1629,"Malignant neoplasm of bronchus and lung, unspecified"
1630,Malignant neoplasm of parietal pleura
1631,Malignant neoplasm of visceral pleura
1638,Malignant neoplasm of other specified sites of pleura
1639,"Malignant neoplasm of pleura, unspecified"
1640,Malignant neoplasm of thymus
1641,Malignant neoplasm of heart
1642,Malignant neoplasm of anterior mediastinum
1643,Malignant neoplasm of posterior mediastinum
1648,Malignant neoplasm of other parts of mediastinum
1649,"Malignant neoplasm of mediastinum, part unspecified"
1650,"Malignant neoplasm of upper respiratory tract, part unspecified"
1658,Malignant neoplasm of other sites within the respiratory system and intrathoracic organs
1659,Malignant neoplasm of ill-defined sites within the respiratory system
1700,"Malignant neoplasm of bones of skull and face, except mandible"
1701,Malignant neoplasm of mandible
1702,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx"
1703,"Malignant neoplasm of ribs, sternum, and clavicle"
1704,Malignant neoplasm of scapula and long bones of upper limb
1705,Malignant neoplasm of short bones of upper limb
1706,"Malignant neoplasm of pelvic bones, sacrum, and coccyx"
1707,Malignant neoplasm of long bones of lower limb
1708,Malignant neoplasm of short bones of lower limb
1709,"Malignant neoplasm of bone and articular cartilage, site unspecified"
1710,"Malignant neoplasm of connective and other soft tissue of head, face, and neck"
1712,"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder"
1713,"Malignant neoplasm of connective and other soft tissue of lower limb, including hip"
1714,Malignant neoplasm of connective and other soft tissue of thorax
1715,Malignant neoplasm of connective and other soft tissue of abdomen
1716,Malignant neoplasm of connective and other soft tissue of pelvis
1717,"Malignant neoplasm of connective and other soft tissue of trunk, unspecified"
1718,Malignant neoplasm of other specified sites of connective and other soft tissue
1719,"Malignant neoplasm of connective and other soft tissue, site unspecified"
1720,Malignant melanoma of skin of lip
1721,"Malignant melanoma of skin of eyelid, including canthus"
1722,Malignant melanoma of skin of ear and external auditory canal
1723,Malignant melanoma of skin of other and unspecified parts of face
1724,Malignant melanoma of skin of scalp and neck
1725,"Malignant melanoma of skin of trunk, except scrotum"
1726,"Malignant melanoma of skin of upper limb, including shoulder"
1727,"Malignant melanoma of skin of lower limb, including hip"
1728,Malignant melanoma of other specified sites of skin
1729,"Melanoma of skin, site unspecified"
1740,Malignant neoplasm of nipple and areola of female breast
1741,Malignant neoplasm of central portion of female breast
1742,Malignant neoplasm of upper-inner quadrant of female breast
1743,Malignant neoplasm of lower-inner quadrant of female breast
1744,Malignant neoplasm of upper-outer quadrant of female breast
1745,Malignant neoplasm of lower-outer quadrant of female breast
1746,Malignant neoplasm of axillary tail of female breast
1748,Malignant neoplasm of other specified sites of female breast
1749,"Malignant neoplasm of breast (female), unspecified"
1750,Malignant neoplasm of nipple and areola of male breast
1759,Malignant neoplasm of other and unspecified sites of male breast
1760,"Kaposi's sarcoma, skin"
1761,"Kaposi's sarcoma, soft tissue"
1762,"Kaposi's sarcoma, palate"
1763,"Kaposi's sarcoma, gastrointestinal sites"
1764,"Kaposi's sarcoma, lung"
1765,"Kaposi's sarcoma, lymph nodes"
1768,"Kaposi's sarcoma, other specified sites"
1769,"Kaposi's sarcoma, unspecified site"
1800,Malignant neoplasm of endocervix
1801,Malignant neoplasm of exocervix
1808,Malignant neoplasm of other specified sites of cervix
1809,"Malignant neoplasm of cervix uteri, unspecified site"
1820,"Malignant neoplasm of corpus uteri, except isthmus"
1821,Malignant neoplasm of isthmus
1828,Malignant neoplasm of other specified sites of body of uterus
1830,Malignant neoplasm of ovary
1832,Malignant neoplasm of fallopian tube
1833,Malignant neoplasm of broad ligament of uterus
1834,Malignant neoplasm of parametrium
1835,Malignant neoplasm of round ligament of uterus
1838,Malignant neoplasm of other specified sites of uterine adnexa
1839,"Malignant neoplasm of uterine adnexa, unspecified site"
1840,Malignant neoplasm of vagina
1841,Malignant neoplasm of labia majora
1842,Malignant neoplasm of labia minora
1843,Malignant neoplasm of clitoris
1844,"Malignant neoplasm of vulva, unspecified site"
1848,Malignant neoplasm of other specified sites of female genital organs
1849,"Malignant neoplasm of female genital organ, site unspecified"
1860,Malignant neoplasm of undescended testis
1869,Malignant neoplasm of other and unspecified testis
1871,Malignant neoplasm of prepuce
1872,Malignant neoplasm of glans penis
1873,Malignant neoplasm of body of penis
1874,"Malignant neoplasm of penis, part unspecified"
1875,Malignant neoplasm of epididymis
1876,Malignant neoplasm of spermatic cord
1877,Malignant neoplasm of scrotum
1878,Malignant neoplasm of other specified sites of male genital organs
1879,"Malignant neoplasm of male genital organ, site unspecified"
1880,Malignant neoplasm of trigone of urinary bladder
1881,Malignant neoplasm of dome of urinary bladder
1882,Malignant neoplasm of lateral wall of urinary bladder
1883,Malignant neoplasm of anterior wall of urinary bladder
1884,Malignant neoplasm of posterior wall of urinary bladder
1885,Malignant neoplasm of bladder neck
1886,Malignant neoplasm of ureteric orifice
1887,Malignant neoplasm of urachus
1888,Malignant neoplasm of other specified sites of bladder
1889,"Malignant neoplasm of bladder, part unspecified"
1890,"Malignant neoplasm of kidney, except pelvis"
1891,Malignant neoplasm of renal pelvis
1892,Malignant neoplasm of ureter
1893,Malignant neoplasm of urethra
1894,Malignant neoplasm of paraurethral glands
1898,Malignant neoplasm of other specified sites of urinary organs
1899,"Malignant neoplasm of urinary organ, site unspecified"
1900,"Malignant neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid"
1901,Malignant neoplasm of orbit
1902,Malignant neoplasm of lacrimal gland
1903,Malignant neoplasm of conjunctiva
1904,Malignant neoplasm of cornea
1905,Malignant neoplasm of retina
1906,Malignant neoplasm of choroid
1907,Malignant neoplasm of lacrimal duct
1908,Malignant neoplasm of other specified sites of eye
1909,"Malignant neoplasm of eye, part unspecified"
1910,"Malignant neoplasm of cerebrum, except lobes and ventricles"
1911,Malignant neoplasm of frontal lobe
1912,Malignant neoplasm of temporal lobe
1913,Malignant neoplasm of parietal lobe
1914,Malignant neoplasm of occipital lobe
1915,Malignant neoplasm of ventricles
1916,Malignant neoplasm of cerebellum nos
1917,Malignant neoplasm of brain stem
1918,Malignant neoplasm of other parts of brain
1919,"Malignant neoplasm of brain, unspecified"
1920,Malignant neoplasm of cranial nerves
1921,Malignant neoplasm of cerebral meninges
1922,Malignant neoplasm of spinal cord
1923,Malignant neoplasm of spinal meninges
1928,Malignant neoplasm of other specified sites of nervous system
1929,"Malignant neoplasm of nervous system, part unspecified"
1940,Malignant neoplasm of adrenal gland
1941,Malignant neoplasm of parathyroid gland
1943,Malignant neoplasm of pituitary gland and craniopharyngeal duct
1944,Malignant neoplasm of pineal gland
1945,Malignant neoplasm of carotid body
1946,Malignant neoplasm of aortic body and other paraganglia
1948,Malignant neoplasm of other endocrine glands and related structures
1949,"Malignant neoplasm of endocrine gland, site unspecified"
1950,"Malignant neoplasm of head, face, and neck"
1951,Malignant neoplasm of thorax
1952,Malignant neoplasm of abdomen
1953,Malignant neoplasm of pelvis
1954,Malignant neoplasm of upper limb
1955,Malignant neoplasm of lower limb
1958,Malignant neoplasm of other specified sites
1960,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck"
1961,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
1962,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
1963,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb
1965,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb
1966,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
1968,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites
1969,"Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified"
1970,Secondary malignant neoplasm of lung
1971,Secondary malignant neoplasm of mediastinum
1972,Secondary malignant neoplasm of pleura
1973,Secondary malignant neoplasm of other respiratory organs
1974,Secondary malignant neoplasm of small intestine including duodenum
1975,Secondary malignant neoplasm of large intestine and rectum
1976,Secondary malignant neoplasm of retroperitoneum and peritoneum
1977,"Malignant neoplasm of liver, secondary"
1978,Secondary malignant neoplasm of other digestive organs and spleen
1980,Secondary malignant neoplasm of kidney
1981,Secondary malignant neoplasm of other urinary organs
