code,description
7176,Loose body in knee
71785,Old disruption of other ligaments of knee
71789,Other internal derangement of knee
7179,Unspecified internal derangement of knee
72660,"Enthesopathy of knee, unspecified"
72661,Pes anserinus tendinitis or bursitis
72662,Tibial collateral ligament bursitis
72663,Fibular collateral ligament bursitis
72664,Patellar tendinitis
72665,Prepatellar bursitis
72669,Other enthesopathy of knee
72766,Nontraumatic rupture of patellar tendon
72931,"Hypertrophy of fat pad, knee"
7366,Other acquired deformities of knee
75441,Congenital dislocation of knee (with genu recurvatum)
75564,Congenital deformity of knee (joint)
8360,"Tear of medial cartilage or meniscus of knee, current"
8361,"Tear of lateral cartilage or meniscus of knee, current"
8362,"Other tear of cartilage or meniscus of knee, current"
8363,"Dislocation of patella, closed"
8364,"Dislocation of patella, open"
83650,"Dislocation of knee, unspecified, closed"
83651,"Anterior dislocation of tibia, proximal end, closed"
83652,"Posterior dislocation of tibia, proximal end, closed"
83653,"Medial dislocation of tibia, proximal end, closed"
83654,"Lateral dislocation of tibia, proximal end, closed"
83659,"Other dislocation of knee, closed"
83660,"Dislocation of knee, unspecified, open"
83661,"Anterior dislocation of tibia, proximal end, open"
83662,"Posterior dislocation of tibia, proximal end, open"
83663,"Medial dislocation of tibia, proximal end, open"
83664,"Lateral dislocation of tibia, proximal end, open"
83669,"Other dislocation of knee, open"
8440,Sprain of lateral collateral ligament of knee
8441,Sprain of medial collateral ligament of knee
8442,Sprain of cruciate ligament of knee
8443,"Sprain of tibiofibular (joint) (ligament) superior, of knee"
8448,Sprains and strains of other specified sites of knee and leg
8449,Sprains and strains of unspecified site of knee and leg
8910,"Open wound of knee, leg [except thigh], and ankle, without mention of complication"
8911,"Open wound of knee, leg [except thigh], and ankle, complicated"
8912,"Open wound of knee, leg [except thigh], and ankle, with tendon involvement"
8970,"Traumatic amputation of leg(s) (complete) (partial), unilateral, below knee, without mention of complication"
8971,"Traumatic amputation of leg(s) (complete) (partial), unilateral, below knee, complicated"
8972,"Traumatic amputation of leg(s) (complete) (partial), unilateral, at or above knee, without mention of complication"
8973,"Traumatic amputation of leg(s) (complete) (partial), unilateral, at or above knee, complicated"
92411,Contusion of knee
92811,Crushing injury of knee
94505,Burn of unspecified degree of knee
94515,Erythema [first degree] of knee
94525,"Blisters, epidermal loss [second degree] of knee"
94535,Full-thickness skin loss [third degree NOS] of knee
94545,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of knee"
94555,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of knee"
9597,"Knee, leg, ankle, and foot injury"
V4365,Knee joint replacement
V4975,Below knee amputation status
V4976,Above knee amputation status
V8822,Acquired absence of knee joint
