code,condition
725,Polymyalgia rheumatica
3371,Peripheral autonomic neuropathy in disorders classified elsewhere
3373,Autonomic dysreflexia
3379,Unspecified disorder of autonomic nervous system
3380,Central pain syndrome
3383,Neoplasm related pain (acute) (chronic)
3384,Chronic pain syndrome
3501,Trigeminal neuralgia
3502,Atypical face pain
3508,Other specified trigeminal nerve disorders
3509,"Trigeminal nerve disorder, unspecified"
3532,"Cervical root lesions, not elsewhere classified"
3533,"Thoracic root lesions, not elsewhere classified"
3534,"Lumbosacral root lesions, not elsewhere classified"
3535,Neuralgic amyotrophy
3536,Phantom limb (syndrome)
3538,Other nerve root and plexus disorders
3539,Unspecified nerve root and plexus disorder
3540,Carpal tunnel syndrome
3541,Other lesion of median nerve
3542,Lesion of ulnar nerve
3543,Lesion of radial nerve
3544,Causalgia of upper limb
3545,Mononeuritis multiplex
3548,Other mononeuritis of upper limb
3549,"Mononeuritis of upper limb, unspecified"
3550,Lesion of sciatic nerve
3551,Meralgia paresthetica
3552,Other lesion of femoral nerve
3553,Lesion of lateral popliteal nerve
3554,Lesion of medial popliteal nerve
3555,Tarsal tunnel syndrome
3556,Lesion of plantar nerve
3558,"Mononeuritis of lower limb, unspecified"
3559,Mononeuritis of unspecified site
3560,Hereditary peripheral neuropathy
3560,Hereditary peripheral neuropathy
3561,Peroneal muscular atrophy
3562,Hereditary sensory neuropathy
3562,Hereditary sensory neuropathy
3563,Refsum's disease
3564,Idiopathic progressive polyneuropathy
3568,Other specified idiopathic peripheral neuropathy
3569,Unspecified hereditary and idiopathic peripheral neuropathy
3570,Acute infective polyneuritis
3571,Polyneuropathy in collagen vascular disease
3572,Polyneuropathy in diabetes
3573,Polyneuropathy in malignant disease
3574,Polyneuropathy in other diseases classified elsewhere
3575,Alcoholic polyneuropathy
3575,Alcoholic polyneuropathy
3576,Polyneuropathy due to drugs
3576,Polyneuropathy due to drugs
3577,Polyneuropathy due to other toxic agents
3577,Polyneuropathy due to other toxic agents
3579,Unspecified inflammatory and toxic neuropathy
3579,Unspecified inflammatory and toxic neuropathy
05313,Postherpetic polyneuropathy
7260,Adhesive capsulitis of shoulder
7262,"Other affections of shoulder region, not elsewhere classified"
7264,Enthesopathy of wrist and carpus
7265,Enthesopathy of hip region
7268,Other peripheral enthesopathies
7271,Bunion
07272,Mumps polyneuropathy
7272,Specific bursitides often of occupational origin
7273,Other bursitis
7279,"Unspecified disorder of synovium, tendon, and bursa"
7291,"Myalgia and myositis, unspecified"
7292,"Neuralgia, neuritis, and radiculitis, unspecified"
7294,"Fasciitis, unspecified"
28242,Sickle-cell thalassemia with crisis
28262,Hb-SS disease with crisis
28264,Sickle-cell/Hb-C disease with crisis
28269,Other sickle-cell disease with crisis
33700,"Idiopathic peripheral autonomic neuropathy, unspecified"
33709,Other idiopathic peripheral autonomic neuropathy
33720,"Reflex sympathetic dystrophy, unspecified"
33721,Reflex sympathetic dystrophy of the upper limb
33722,Reflex sympathetic dystrophy of the lower limb
33729,Reflex sympathetic dystrophy of other specified site
33821,Chronic pain due to trauma
33822,Chronic post-thoracotomy pain
33828,Other chronic postoperative pain
33829,Other chronic pain
35571,Causalgia of lower limb
35579,Other mononeuritis of lower limb
35781,Chronic inflammatory demyelinating polyneuritis
35781,Chronic inflammatory demyelinating polyneuritis
35782,Critical illness polyneuropathy
35782,Critical illness polyneuropathy
35789,Other inflammatory and toxic neuropathy
35789,Other inflammatory and toxic neuropathy
37991,Pain in or around eye
38870,"Otalgia, unspecified"
38871,Otogenic pain
38872,Referred otogenic pain
44022,Atherosclerosis of native arteries of the extremities with rest pain
56942,Anal or rectal pain
72610,"Disorders of bursae and tendons in shoulder region, unspecified"
72611,Calcifying tendinitis of shoulder
72612,Bicipital tenosynovitis
72613,Partial tear of rotator cuff
72619,Other specified disorders of bursae and tendons in shoulder region
72630,"Enthesopathy of elbow, unspecified"
72631,Medial epicondylitis
72632,Lateral epicondylitis
72633,Olecranon bursitis
72639,Other enthesopathy of elbow region
72660,"Enthesopathy of knee, unspecified"
72661,Pes anserinus tendinitis or bursitis
72662,Tibial collateral ligament bursitis
72663,Fibular collateral ligament bursitis
72664,Patellar tendinitis
72665,Prepatellar bursitis
72669,Other enthesopathy of knee
72670,"Enthesopathy of ankle and tarsus, unspecified"
72671,Achilles bursitis or tendinitis
72672,Tibialis tendinitis
72673,Calcaneal spur
72679,Other enthesopathy of ankle and tarsus
72690,Enthesopathy of unspecified site
72700,"Synovitis and tenosynovitis, unspecified"
72701,Synovitis and tenosynovitis in diseases classified elsewhere
72703,Trigger finger (acquired)
72704,Radial styloid tenosynovitis
72705,Other tenosynovitis of hand and wrist
72706,Tenosynovitis of foot and ankle
72709,Other synovitis and tenosynovitis
72759,Other rupture of synovium
72761,Complete rupture of rotator cuff
72789,"Other disorders of synovium, tendon, and bursa"
72881,Interstitial myositis
72930,"Panniculitis, unspecified site"
72939,"Panniculitis, other site"
78096,Generalized pain
7841,Throat pain
78492,Jaw pain
7873,"Flatulence, eructation, and gas pain"
7880,Renal colic
78900,"Abdominal pain, unspecified site"
78901,"Abdominal pain, right upper quadrant"
78902,"Abdominal pain, left upper quadrant"
78903,"Abdominal pain, right lower quadrant"
78904,"Abdominal pain, left lower quadrant"
78905,"Abdominal pain, periumbilic"
78906,"Abdominal pain, epigastric"
78907,"Abdominal pain, generalized"
78909,"Abdominal pain, other specified site"
78960,"Abdominal tenderness, unspecified site"
